Field=#~Integer~#~50|Field=Designator~String~Designator~294|Field=Footprint~String~Footprint~57|Field=Quantity~Integer~Quantity~24|Field=Description~String~Description~102|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~61|Field=Model~String~Model~44|Field=Package / Case~String~Package / Case~63|Field=Ratings~String~Ratings~66|Field=Value~String~Value~57|Field=Tolerance~String~Tolerance~89|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Learning stand.PrjPcb|ReportField=ProjectFullPath~D:\LS\Learning stand\Learning stand.PrjPcb|ReportField=Title~Bill of Materials For Variant [NotFitContrast] of Project [Learning stand.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~279|ReportField=ReportTime~15:14:03|ReportField=ReportDate~25.04.2020|ReportField=ReportDateTime~25.04.2020 15:14:03|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~NotFitContrast|ReportField=Address1~Address1|ReportField=Address2~Address2|ReportField=Address3~Address3|ReportField=Address4~Address4|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Самарин И. Д.|ReportField=CheckedBy~Смирнов А. Н.|ReportField=CompanyName~МЭИ ЭР-02м-18|ReportField=ConfigurationParameters~|ReportField=CurrentDate~25.04.2020|ReportField=CurrentTime~11:50:30|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\LS\Learning stand\Communication.SchDoc|ReportField=DocumentName~Communication.SchDoc|ReportField=DocumentNumber~АБВГ.123456.001 Э3|ReportField=DocumentType~Схема электрическая принципиальная|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=EngineerName~|ReportField=FirstReferrence~АБВГ.123456.001|ReportField=ImagePath~|ReportField=Letter1Column~|ReportField=Letter2Column~|ReportField=Letter3Column~|ReportField=Mass~|ReportField=ModifiedDate~24.04.2020|ReportField=NormInspection~|ReportField=Organization~|ReportField=ProcessInspection~|ReportField=ProjectName~Learning stand.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=Scale~1:1|ReportField=SheetNumber~3|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Плата отладочная для выполнения лабораторных работ|ReportField=Title2str~по курсу "Информационная электроника"|ReportField=DataSourceFileName~Learning stand.PrjPcb|ReportField=DataSourceFullPath~D:\LS\Learning stand\Learning stand.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
33|C31|CAPC1608X90N|1|Capacitor SMD Cer 10uF 10% 10V X5R 0603|{URL}{URL.TEXT}C1608X5R1A106K080AC{URL.TIP}Manufacturer||0603 (1608 Metric)|10V; X5R|10µ|±10%
34|C32|CAPC1608X90N|1|Capacitor SMD Cer 100nF 10% 50V X7R 0603|{URL}{URL.TEXT}C1608X7R1H104K{URL.TIP}Manufacturer||0603 (1608 Metric)|50V; X7R|100n|±10%
35|C33|CAPC1608X90N|1|Capacitor SMD Cer 10uF 10% 10V X5R 0603|{URL}{URL.TEXT}C1608X5R1A106K080AC{URL.TIP}Manufacturer||0603 (1608 Metric)|10V; X5R|10µ|±10%
36|C34|CAPC1608X90N|1|Capacitor SMD Cer 100nF 10% 50V X7R 0603|{URL}{URL.TEXT}C1608X7R1H104K{URL.TIP}Manufacturer||0603 (1608 Metric)|50V; X7R|100n|±10%
37|C35|CAPC1608X90N|1|Capacitor SMD Cer 10uF 10% 10V X5R 0603|{URL}{URL.TEXT}C1608X5R1A106K080AC{URL.TIP}Manufacturer||0603 (1608 Metric)|10V; X5R|10µ|±10%
38|DA1|SOIC127P600X175-8AN|1|ADC|{URL}{URL.TEXT}{URL.TIP}Manufacturer|MCP3201-BI/SN||||
39|DD1|SOIC127P600-8N|1|Darlington Assembly|{URL}{URL.TEXT}{URL.TIP}Manufacturer|ULN2803ADW||||
40|DD2|SOIC127P600-8N|1|Darlington Assembly|{URL}{URL.TEXT}{URL.TIP}Manufacturer|ULN2803ADW||||
41|DD3|SOT223|1|StateVoltageSource|{URL}{URL.TEXT}{URL.TIP}Manufacturer|ADP3339AKCZ-3.3-RL7||||
42|DD4|SOIC127P600X175-8AN|1|FLASH|{URL}{URL.TEXT}{URL.TIP}Manufacturer|AT45DB161E-SSHF2B-T||||
43|DD5|SOIC127P780X200-14N|1|HEX invertor|{URL}{URL.TEXT}{URL.TIP}Manufacturer|SN74AHCU04DR||||
44|DD6|SOIC127P600X175-8AN|1|Temperature sensor|{URL}{URL.TEXT}{URL.TIP}Manufacturer|STLM75M2F||||
45|DD7|SOIC127P600X175-8AN|1|EEPROM|{URL}{URL.TEXT}{URL.TIP}Manufacturer|24LC64-I/SN||||
46|DD8|DFN-6|1|Humidity sensor|{URL}{URL.TEXT}{URL.TIP}Manufacturer|SHT21||||
47|DD9|SOP65P780X200-28N|1|USB-UART converter|{URL}{URL.TEXT}{URL.TIP}Manufacturer|FT232RL||||
48|DD10|SOIC127P600X175-8AN|1|Protect|{URL}{URL.TEXT}{URL.TIP}Manufacturer|SN65HVD232D||||
49|DD11|SOIC127P600X175-14AN|1|4x2ИЛИ-НЕ|{URL}{URL.TEXT}{URL.TIP}Manufacturer|74LV02D.112||||
50|DD12|TSSOP65P400X110-8N|1|2x2И|{URL}{URL.TEXT}{URL.TIP}Manufacturer|74LVC2G08DP.125||||
51|DD13|SOIC127P600X175-8AN|1|Rail-to-Rail Input and Output Amplifiers  with Shutdown Option|{URL}{URL.TEXT}{URL.TIP}Manufacturer|LMH6646MA/NOPB||||
52|DD14|SOT23-6|1|Protect|{URL}{URL.TEXT}{URL.TIP}Manufacturer|USBLC6-2SC6||||
53|GB1|HU2032-1|1|Holder|{URL}{URL.TEXT}{URL.TIP}Manufacturer|HU2032-1|||3V|
54|HG1|MT-20S4A|1|LCD|{URL}{URL.TEXT}{URL.TIP}Manufacturer|MT-20S4A-2YLG-3V0||||
55|HL1|CA56-12GWA|1|Indicator|{URL}{URL.TEXT}{URL.TIP}Manufacturer|CA56-12GWA||||
56|L1|FBC2012N|1|Ferrite bead 2.2K Ohm at 100 MHz 200mA 0603 SMD|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSTEWARD%2520Inc.%26mpn%3DMI0805K400R-10%26seller%3DDigi-Key%26sku%3D445-8671-1-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MI0805K400R-10{URL.TIP}Manufacturer||0805|200 mA; 800 mOhm DC|2K2 @ 100 MHz|
57|R1|RESC1608X55N|1|Resistor SMD chip 10k Ohm 0.1W 1% 0603|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0603FR-0710KL%26seller%3DCompel%26sku%3D311-10.0KHRCT-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0603FR-0710KL{URL.TIP}Manufacturer||0603 (1608 Metric)|1/10W|10K|±1%
58|R2|RESC1608X55N|1|Resistor SMD chip 10k Ohm 0.1W 1% 0603|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0603FR-0710KL%26seller%3DCompel%26sku%3D311-10.0KHRCT-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0603FR-0710KL{URL.TIP}Manufacturer||0603 (1608 Metric)|1/10W|10K|±1%
59|R3|RESC1608X55N|1|Resistor SMD chip 10k Ohm 0.1W 1% 0603|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0603FR-0710KL%26seller%3DCompel%26sku%3D311-10.0KHRCT-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0603FR-0710KL{URL.TIP}Manufacturer||0603 (1608 Metric)|1/10W|10K|±1%
60|R4|RESC1608X55N|1|Resistor SMD chip 470 Ohm 0.1W 5% 0603|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCRCW0603470RJNEA%26seller%3DCompel%26sku%3D541-470GCT-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW0603470RJNEA{URL.TIP}Manufacturer||0603 (1608 metric)|1/10 W|470R|±5%
61|R5|RESC1608X55N|1|Resistor SMD chip 470 Ohm 0.1W 5% 0603|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCRCW0603470RJNEA%26seller%3DCompel%26sku%3D541-470GCT-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW0603470RJNEA{URL.TIP}Manufacturer||0603 (1608 metric)|1/10 W|470R|±5%
62|R6|RESC1608X55N|1|Resistor SMD chip 470 Ohm 0.1W 5% 0603|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCRCW0603470RJNEA%26seller%3DCompel%26sku%3D541-470GCT-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW0603470RJNEA{URL.TIP}Manufacturer||0603 (1608 metric)|1/10 W|470R|±5%
63|R7|RESC1608X55N|1|Resistor SMD chip 68 Ohm 0.1W 5% 0603|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0603FR-0768RL%26seller%3DCompel%26sku%3D311-68GRCT-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0603FR-0768RL{URL.TIP}Manufacturer||0603 (1608 metric)|1/10 W|68R|±1%
64|R8|RESC1608X55N|1|Resistor SMD chip 68 Ohm 0.1W 5% 0603|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0603FR-0768RL%26seller%3DCompel%26sku%3D311-68GRCT-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0603FR-0768RL{URL.TIP}Manufacturer||0603 (1608 metric)|1/10 W|68R|±1%
